Instance type,Instance family,Instance size,Availability zones,Free-Tier eligible,Free Trial available,Bare metal,Hypervisor,vCPUs,Architecture,Cores,Valid cores,Threads per core,Valid threads per core,Sustained clock speed (GHz),Memory (GiB),Storage (GB),Local instance storage,Storage type,Storage disk count,EBS encryption support,EBS optimization support,Network performance,ENA support,Maximum number of network interfaces,IPv4 addresses per interface,IPv6 addresses per interface,IPv6 support,Supported placement group strategies,GPUs,FPGAs,Auto Recovery support,Reboot migration support,Supported root device types,Dedicated Host support,On-Demand Hibernation support,Burstable Performance support,Current generation,EBS Baseline Bandwidth (Mbps),EBS Baseline IOPS,EBS Baseline Throughput (MB/s),EBS Maximum Bandwidth (Mbps),EBS Maximum IOPS,EBS Maximum Throughput (MB/s),ENA Express support,On-Demand Linux pricing,On-Demand Ubuntu Pro pricing,On-Demand SUSE pricing,On-Demand Windows pricing,On-Demand RHEL pricing,On-Demand ap-southeast-2-akl-1 SUSE pricing,On-Demand ap-southeast-2-akl-1 Windows pricing,On-Demand ap-southeast-2-akl-1 RHEL pricing,On-Demand ap-southeast-2-akl-1 Linux pricing,On-Demand ap-southeast-2-akl-1 Ubuntu Pro pricing,On-Demand ap-southeast-2-per-1 SUSE pricing,On-Demand ap-southeast-2-per-1 Ubuntu Pro pricing,On-Demand ap-southeast-2-per-1 RHEL pricing,On-Demand ap-southeast-2-per-1 Windows pricing,On-Demand ap-southeast-2-per-1 Linux pricing
r6a.large,r6a,large,"ap-southeast-2, ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",False,False,False,nitro,2,x86_64,1,1,2,"1,2",3.6,16.0,0,-,-,0,supported,default,Up to 12.5 Gigabit,required,3,10,10,true,"cluster, partition, spread",0,0,true,supported,ebs,true,true,-,True,650,3600,81.25,10000,40000,1250.0,False,0.1359 USD per Hour,0.1394 USD per Hour,0.1922 USD per Hour,0.2279 USD per Hour,0.1647 USD per Hour,,,,,,,,,,
r5a.large,r5a,large,"ap-southeast-2, ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",False,False,False,nitro,2,x86_64,1,1,2,"1,2",2.5,16.0,0,-,-,0,supported,default,Up to 10 Gigabit,required,3,10,10,true,"cluster, partition, spread",0,0,true,supported,ebs,-,true,-,True,650,3600,81.25,2880,16000,360.0,False,0.136 USD per Hour,0.14 USD per Hour,0.192 USD per Hour,0.228 USD per Hour,0.165 USD per Hour,,,,,,,,,,
m5d.large,m5d,large,"ap-southeast-2, ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",False,False,False,nitro,2,x86_64,1,1,2,"1,2",3.1,8.0,75,true,ssd,1,supported,default,Up to 10 Gigabit,required,3,10,10,true,"cluster, partition, spread",0,0,-,unsupported,ebs,true,true,-,True,650,3600,81.25,4750,18750,593.75,False,0.142 USD per Hour,0.146 USD per Hour,0.198 USD per Hour,0.234 USD per Hour,0.171 USD per Hour,,,,,,,,,,
m7a.large,m7a,large,"ap-southeast-2, ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",False,False,False,nitro,2,x86_64,2,"1,2",1,1,3.7,8.0,0,-,-,0,supported,default,Up to 12.5 Gigabit,required,3,10,10,true,"cluster, partition, spread",0,0,true,supported,ebs,true,true,-,True,650,3600,81.25,10000,40000,1250.0,False,0.1449 USD per Hour,0.1484 USD per Hour,0.2012 USD per Hour,0.2369 USD per Hour,0.1737 USD per Hour,,,,,,,,,,
m6id.large,m6id,large,"ap-southeast-2, ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",False,False,False,nitro,2,x86_64,1,1,2,"1,2",3.5,8.0,118,true,ssd,1,supported,default,Up to 12.5 Gigabit,required,3,10,10,true,"cluster, partition, spread",0,0,-,unsupported,ebs,true,true,-,True,650,3600,81.25,10000,40000,1250.0,False,0.1491 USD per Hour,0.1526 USD per Hour,0.2054 USD per Hour,0.2411 USD per Hour,0.1779 USD per Hour,,,,,,,,,,
r6i.large,r6i,large,"ap-southeast-2, ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",False,False,False,nitro,2,x86_64,1,1,2,"1,2",3.5,16.0,0,-,-,0,supported,default,Up to 12.5 Gigabit,required,3,10,10,true,"cluster, partition, spread",0,0,true,supported,ebs,true,-,-,True,650,3600,81.25,10000,40000,1250.0,False,0.151 USD per Hour,0.1545 USD per Hour,0.2073 USD per Hour,0.243 USD per Hour,0.1798 USD per Hour,,,,,,,,,,
r5.large,r5,large,"ap-southeast-2, ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",False,False,False,nitro,2,x86_64,1,1,2,"1,2",3.1,16.0,0,-,-,0,supported,default,Up to 10 Gigabit,required,3,10,10,true,"cluster, partition, spread",0,0,true,supported,ebs,true,true,-,True,650,3600,81.25,4750,18750,593.75,False,0.151 USD per Hour,0.155 USD per Hour,0.207 USD per Hour,0.243 USD per Hour,0.18 USD per Hour,,,,,,,,,,
r7i.large,r7i,large,"ap-southeast-2, ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",False,False,False,nitro,2,x86_64,1,1,2,"1,2",3.2,16.0,0,-,-,0,supported,default,Up to 12.5 Gigabit,required,3,10,10,true,"cluster, partition, spread",0,0,true,supported,ebs,true,true,-,True,650,3600,81.25,10000,40000,1250.0,False,0.15855 USD per Hour,0.16205 USD per Hour,0.21485 USD per Hour,0.25055 USD per Hour,0.18735 USD per Hour,,,,,,,,,,
r5ad.large,r5ad,large,"ap-southeast-2, ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",False,False,False,nitro,2,x86_64,1,1,2,"1,2",2.2,16.0,75,true,ssd,1,supported,default,Up to 10 Gigabit,required,3,10,10,true,"cluster, partition, spread",0,0,-,unsupported,ebs,-,true,-,True,650,3600,81.25,2880,16000,360.0,False,0.159 USD per Hour,0.163 USD per Hour,0.215 USD per Hour,0.251 USD per Hour,0.188 USD per Hour,,,,,,,,,,
r6id.large,r6id,large,"ap-southeast-2, ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",False,False,False,nitro,2,x86_64,1,1,2,"1,2",3.5,16.0,118,true,ssd,1,supported,default,Up to 12.5 Gigabit,required,3,10,10,true,"cluster, partition, spread",0,0,-,unsupported,ebs,true,-,-,True,650,3600,81.25,10000,40000,1250.0,False,0.174 USD per Hour,0.1775 USD per Hour,0.2303 USD per Hour,0.266 USD per Hour,0.2028 USD per Hour,,,,,,,,,,
r5d.large,r5d,large,"ap-southeast-2, ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",False,False,False,nitro,2,x86_64,1,1,2,"1,2",3.1,16.0,75,true,ssd,1,supported,default,Up to 10 Gigabit,required,3,10,10,true,"cluster, partition, spread",0,0,-,unsupported,ebs,true,true,-,True,650,3600,81.25,4750,18750,593.75,False,0.174 USD per Hour,0.178 USD per Hour,0.23 USD per Hour,0.266 USD per Hour,0.203 USD per Hour,,,,,,,,,,
m6in.large,m6in,large,"ap-southeast-2, ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",False,False,False,nitro,2,x86_64,1,1,2,"1,2",3.5,8.0,0,-,-,0,supported,default,Up to 25 Gigabit,required,3,10,10,true,"cluster, partition, spread",0,0,true,supported,ebs,true,true,-,True,1562,6250,195.3125,25000,100000,3125.0,False,0.1755 USD per Hour,0.179 USD per Hour,0.2318 USD per Hour,0.2675 USD per Hour,0.2043 USD per Hour,,,,,,,,,,
r5b.large,r5b,large,"ap-southeast-2, ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",False,False,False,nitro,2,x86_64,1,1,2,"1,2",3.1,16.0,0,-,-,0,supported,default,Up to 10 Gigabit,required,3,10,10,true,"cluster, partition, spread",0,0,true,supported,ebs,true,-,-,True,1250,5417,156.25,10000,43333,1250.0,False,0.181 USD per Hour,0.1845 USD per Hour,0.2373 USD per Hour,0.273 USD per Hour,0.2098 USD per Hour,,,,,,,,,,
r5n.large,r5n,large,"ap-southeast-2, ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",False,False,False,nitro,2,x86_64,1,1,2,"1,2",3.1,16.0,0,-,-,0,supported,default,Up to 25 Gigabit,required,3,10,10,true,"cluster, partition, spread",0,0,true,supported,ebs,true,-,-,True,650,3600,81.25,4750,18750,593.75,False,0.181 USD per Hour,0.185 USD per Hour,0.237 USD per Hour,0.273 USD per Hour,0.21 USD per Hour,,,,,,,,,,
i3.large,i3,large,"ap-southeast-2, ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",False,False,False,xen,2,x86_64,1,1,2,"1,2",2.3,15.3,475,true,ssd,1,supported,default,Up to 10 Gigabit,supported,3,10,10,true,"cluster, partition, spread",0,0,-,unsupported,ebs,true,true,-,True,425,3000,53.125,425,3000,53.125,False,0.187 USD per Hour,0.191 USD per Hour,0.287 USD per Hour,0.279 USD per Hour,0.216 USD per Hour,,,,,,,,,,
t3a.xlarge,t3a,xlarge,"ap-southeast-2, ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",False,False,False,nitro,4,x86_64,2,2,2,"1,2",2.2,16.0,0,-,-,0,supported,default,Up to 5 Gigabit,required,4,15,15,true,"partition, spread",0,0,true,supported,ebs,-,true,true,True,695,4000,86.875,2780,15700,347.5,False,0.1901 USD per Hour,0.1971 USD per Hour,0.2464 USD per Hour,0.2637 USD per Hour,0.2477 USD per Hour,,,,,,,,,,
c6a.xlarge,c6a,xlarge,"ap-southeast-2, ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",False,False,False,nitro,4,x86_64,2,"1,2",2,"1,2",3.6,8.0,0,-,-,0,supported,default,Up to 12.5 Gigabit,required,4,15,15,true,"cluster, partition, spread",0,0,true,supported,ebs,true,true,-,True,1250,6000,156.25,10000,40000,1250.0,False,0.1998 USD per Hour,0.2068 USD per Hour,0.2561 USD per Hour,0.3838 USD per Hour,0.2574 USD per Hour,,,,,,,,,,
c5a.xlarge,c5a,xlarge,"ap-southeast-2, ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",False,False,False,nitro,4,x86_64,2,"1,2",2,"1,2",3.3,8.0,0,-,-,0,supported,default,Up to 10 Gigabit,required,4,15,15,true,"cluster, partition, spread",0,0,true,supported,ebs,-,-,-,True,400,1600,50.0,3170,13300,396.25,False,0.2 USD per Hour,0.207 USD per Hour,0.256 USD per Hour,0.384 USD per Hour,0.258 USD per Hour,,,,,,,,,,
m6idn.large,m6idn,large,"ap-southeast-2, ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",False,False,False,nitro,2,x86_64,1,1,2,"1,2",3.5,8.0,118,true,ssd,1,supported,default,Up to 25 Gigabit,required,3,10,10,true,"cluster, partition, spread",0,0,-,unsupported,ebs,true,true,-,True,1562,6250,195.3125,25000,100000,3125.0,False,0.20124 USD per Hour,0.20474 USD per Hour,0.25754 USD per Hour,0.29324 USD per Hour,0.23004 USD per Hour,,,,,,,,,,
r5dn.large,r5dn,large,"ap-southeast-2, ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",False,False,False,nitro,2,x86_64,1,1,2,"1,2",3.1,16.0,75,true,ssd,1,supported,default,Up to 25 Gigabit,required,3,10,10,true,"cluster, partition, spread",0,0,-,unsupported,ebs,true,-,-,True,650,3600,81.25,4750,18750,593.75,False,0.204 USD per Hour,0.2075 USD per Hour,0.2603 USD per Hour,0.296 USD per Hour,0.2328 USD per Hour,,,,,,,,,,
i4i.large,i4i,large,"ap-southeast-2, ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",False,False,False,nitro,2,x86_64,1,1,2,"1,2",3.5,16.0,468,true,ssd,1,supported,default,Up to 10 Gigabit,required,3,10,10,true,"cluster, partition, spread",0,0,-,unsupported,ebs,true,-,-,True,625,2500,78.125,10000,40000,1250.0,False,0.206 USD per Hour,0.209 USD per Hour,0.262 USD per Hour,0.298 USD per Hour,0.235 USD per Hour,,,,,,,,,,
m5zn.large,m5zn,large,"ap-southeast-2, ap-southeast-2a, ap-southeast-2c",False,False,False,nitro,2,x86_64,1,1,2,"1,2",4.5,8.0,0,-,-,0,supported,default,Up to 25 Gigabit,required,3,10,10,true,"cluster, partition, spread",0,0,true,supported,ebs,true,-,-,True,800,3333,100.0,3170,13333,396.25,False,0.2065 USD per Hour,0.21 USD per Hour,0.2628 USD per Hour,0.2985 USD per Hour,0.2353 USD per Hour,,,,,,,,,,
t3.xlarge,t3,xlarge,"ap-southeast-2, ap-southeast-2-akl-1, ap-southeast-2-per-1, ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",False,False,False,nitro,4,x86_64,2,2,2,"1,2",2.5,16.0,0,-,-,0,supported,default,Up to 5 Gigabit,required,4,15,15,true,"partition, spread",0,0,true,supported,ebs,true,true,true,True,695,4000,86.875,2780,15700,347.5,False,0.2112 USD per Hour,0.2182 USD per Hour,0.2675 USD per Hour,0.2848 USD per Hour,0.2688 USD per Hour,0.3414 USD per Hour,0.3587 USD per Hour,0.3427 USD per Hour,0.2851 USD per Hour,0.2921 USD per Hour,0.3414 USD per Hour,0.2921 USD per Hour,0.3427 USD per Hour,0.3587 USD per Hour,0.2851 USD per Hour
r6in.large,r6in,large,"ap-southeast-2, ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",False,False,False,nitro,2,x86_64,1,1,2,"1,2",3.5,16.0,0,-,-,0,supported,default,Up to 25 Gigabit,required,3,10,10,true,"cluster, partition, spread",0,0,true,supported,ebs,true,true,-,True,1562,6250,195.3125,25000,100000,3125.0,False,0.21177 USD per Hour,0.21527 USD per Hour,0.26807 USD per Hour,0.30377 USD per Hour,0.24057 USD per Hour,,,,,,,,,,
m6a.xlarge,m6a,xlarge,"ap-southeast-2, ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",False,False,False,nitro,4,x86_64,2,"1,2",2,"1,2",3.6,16.0,0,-,-,0,supported,default,Up to 12.5 Gigabit,required,4,15,15,true,"cluster, partition, spread",0,0,true,supported,ebs,true,true,-,True,1250,6000,156.25,10000,40000,1250.0,False,0.216 USD per Hour,0.223 USD per Hour,0.2723 USD per Hour,0.4 USD per Hour,0.2736 USD per Hour,,,,,,,,,,
m5a.xlarge,m5a,xlarge,"ap-southeast-2, ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",False,False,False,nitro,4,x86_64,2,2,2,"1,2",2.5,16.0,0,-,-,0,supported,default,Up to 10 Gigabit,required,4,15,15,true,"cluster, partition, spread",0,0,true,supported,ebs,-,true,-,True,1085,6000,135.625,2880,16000,360.0,False,0.216 USD per Hour,0.223 USD per Hour,0.272 USD per Hour,0.4 USD per Hour,0.274 USD per Hour,,,,,,,,,,
c7i-flex.xlarge,c7i-flex,xlarge,"ap-southeast-2, ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",False,False,False,nitro,4,x86_64,2,"1,2",2,"1,2",3.2,8.0,0,-,-,0,supported,default,Up to 12.5 Gigabit,required,4,15,15,true,"partition, spread",0,0,true,supported,ebs,-,true,-,True,625,3600,78.125,10000,40000,1250.0,False,0.22145 USD per Hour,0.22845 USD per Hour,0.27775 USD per Hour,0.39625 USD per Hour,0.27905 USD per Hour,,,,,,,,,,
c5.xlarge,c5,xlarge,"ap-southeast-2, ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",False,False,False,nitro,4,x86_64,2,2,2,"1,2",3.4,8.0,0,-,-,0,supported,default,Up to 10 Gigabit,required,4,15,15,true,"cluster, partition, spread",0,0,true,supported,ebs,true,true,-,True,1150,6000,143.75,4750,20000,593.75,False,0.222 USD per Hour,0.229 USD per Hour,0.278 USD per Hour,0.406 USD per Hour,0.28 USD per Hour,,,,,,,,,,
c6i.xlarge,c6i,xlarge,"ap-southeast-2, ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",False,False,False,nitro,4,x86_64,2,"1,2",2,"1,2",3.5,8.0,0,-,-,0,supported,default,Up to 12.5 Gigabit,required,4,15,15,true,"cluster, partition, spread",0,0,true,supported,ebs,true,true,-,True,1250,6000,156.25,10000,40000,1250.0,False,0.222 USD per Hour,0.229 USD per Hour,0.2783 USD per Hour,0.406 USD per Hour,0.2796 USD per Hour,,,,,,,,,,
z1d.large,z1d,large,"ap-southeast-2, ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",False,False,False,nitro,2,x86_64,1,1,2,"1,2",4.0,16.0,75,true,ssd,1,supported,default,Up to 10 Gigabit,required,3,10,10,true,"cluster, partition, spread",0,0,-,unsupported,ebs,true,-,-,True,800,3333,100.0,3170,13333,396.25,False,0.226 USD per Hour,0.23 USD per Hour,0.282 USD per Hour,0.318 USD per Hour,0.255 USD per Hour,,,,,,,,,,
c5ad.xlarge,c5ad,xlarge,"ap-southeast-2, ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",False,False,False,nitro,4,x86_64,2,"1,2",2,"1,2",3.3,8.0,150,true,ssd,1,supported,default,Up to 10 Gigabit,required,4,15,15,true,"cluster, partition, spread",0,0,-,unsupported,ebs,-,-,-,True,400,1600,50.0,3170,13300,396.25,False,0.226 USD per Hour,0.233 USD per Hour,0.282 USD per Hour,0.41 USD per Hour,0.284 USD per Hour,,,,,,,,,,
c7i.xlarge,c7i,xlarge,"ap-southeast-2, ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",False,False,False,nitro,4,x86_64,2,"1,2",2,"1,2",3.2,8.0,0,-,-,0,supported,default,Up to 12.5 Gigabit,required,4,15,15,true,"cluster, partition, spread",0,0,true,supported,ebs,true,true,-,True,1250,6000,156.25,10000,40000,1250.0,False,0.2331 USD per Hour,0.2401 USD per Hour,0.2894 USD per Hour,0.4171 USD per Hour,0.2907 USD per Hour,,,,,,,,,,
t2.xlarge,t2,xlarge,"ap-southeast-2, ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",False,False,False,xen,4,x86_64,4,-,1,-,2.3,16.0,0,-,-,0,supported,unsupported,Moderate,unsupported,3,15,15,true,"partition, spread",0,0,true,supported,ebs,-,true,true,True,0,0,0.0,0,0,0.0,False,0.2336 USD per Hour,0.2406 USD per Hour,0.3336 USD per Hour,0.2746 USD per Hour,0.2912 USD per Hour,,,,,,,,,,
r6idn.large,r6idn,large,"ap-southeast-2, ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",False,False,False,nitro,2,x86_64,1,1,2,"1,2",3.5,16.0,118,true,ssd,1,supported,default,Up to 25 Gigabit,required,3,10,10,true,"cluster, partition, spread",0,0,-,unsupported,ebs,true,true,-,True,1562,6250,195.3125,25000,100000,3125.0,False,0.23868 USD per Hour,0.24218 USD per Hour,0.29498 USD per Hour,0.33068 USD per Hour,0.26748 USD per Hour,,,,,,,,,,
m7i-flex.xlarge,m7i-flex,xlarge,"ap-southeast-2, ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",False,False,False,nitro,4,x86_64,2,"1,2",2,"1,2",3.2,16.0,0,-,-,0,supported,default,Up to 12.5 Gigabit,required,4,15,15,true,"partition, spread",0,0,true,supported,ebs,-,true,-,True,625,3600,78.125,10000,40000,1250.0,False,0.2394 USD per Hour,0.2464 USD per Hour,0.2957 USD per Hour,0.4142 USD per Hour,0.297 USD per Hour,,,,,,,,,,
m5.xlarge,m5,xlarge,"ap-southeast-2, ap-southeast-2-akl-1, ap-southeast-2-per-1, ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",False,False,False,nitro,4,x86_64,2,2,2,"1,2",3.1,16.0,0,-,-,0,supported,default,Up to 10 Gigabit,required,4,15,15,true,"cluster, partition, spread",0,0,true,supported,ebs,true,true,-,True,1150,6000,143.75,4750,18750,593.75,False,0.24 USD per Hour,0.247 USD per Hour,0.296 USD per Hour,0.424 USD per Hour,0.298 USD per Hour,0.38 USD per Hour,0.508 USD per Hour,0.382 USD per Hour,0.324 USD per Hour,0.331 USD per Hour,0.38 USD per Hour,0.331 USD per Hour,0.382 USD per Hour,0.508 USD per Hour,0.324 USD per Hour
m6i.xlarge,m6i,xlarge,"ap-southeast-2, ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",False,False,False,nitro,4,x86_64,2,"1,2",2,"1,2",3.5,16.0,0,-,-,0,supported,default,Up to 12.5 Gigabit,required,4,15,15,true,"cluster, partition, spread",0,0,true,supported,ebs,true,true,-,True,1250,6000,156.25,10000,40000,1250.0,False,0.24 USD per Hour,0.247 USD per Hour,0.2963 USD per Hour,0.424 USD per Hour,0.2976 USD per Hour,,,,,,,,,,
c5d.xlarge,c5d,xlarge,"ap-southeast-2, ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",False,False,False,nitro,4,x86_64,2,2,2,"1,2",3.4,8.0,100,true,ssd,1,supported,default,Up to 10 Gigabit,required,4,15,15,true,"cluster, partition, spread",0,0,-,unsupported,ebs,true,true,-,True,1150,6000,143.75,4750,20000,593.75,False,0.252 USD per Hour,0.259 USD per Hour,0.308 USD per Hour,0.436 USD per Hour,0.31 USD per Hour,,,,,,,,,,
m7i.xlarge,m7i,xlarge,"ap-southeast-2, ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",False,False,False,nitro,4,x86_64,2,"1,2",2,"1,2",3.2,16.0,0,-,-,0,supported,default,Up to 12.5 Gigabit,required,4,15,15,true,"cluster, partition, spread",0,0,true,supported,ebs,true,true,-,True,1250,6000,156.25,10000,40000,1250.0,False,0.252 USD per Hour,0.259 USD per Hour,0.3083 USD per Hour,0.436 USD per Hour,0.3096 USD per Hour,,,,,,,,,,
