Instance type,Instance family,Instance size,Availability zones,Free-Tier eligible,Free Trial available,Bare metal,Hypervisor,vCPUs,Architecture,Cores,Valid cores,Threads per core,Valid threads per core,Sustained clock speed (GHz),Memory (GiB),Storage (GB),Local instance storage,Storage type,Storage disk count,EBS encryption support,EBS optimization support,Network performance,ENA support,Maximum number of network interfaces,IPv4 addresses per interface,IPv6 addresses per interface,IPv6 support,Supported placement group strategies,GPUs,FPGAs,Auto Recovery support,Reboot migration support,Supported root device types,Dedicated Host support,On-Demand Hibernation support,Burstable Performance support,Current generation,EBS Baseline Bandwidth (Mbps),EBS Baseline IOPS,EBS Baseline Throughput (MB/s),EBS Maximum Bandwidth (Mbps),EBS Maximum IOPS,EBS Maximum Throughput (MB/s),ENA Express support,On-Demand Linux pricing,On-Demand Ubuntu Pro pricing,On-Demand SUSE pricing,On-Demand Windows pricing,On-Demand RHEL pricing,On-Demand ap-southeast-2-akl-1 SUSE pricing,On-Demand ap-southeast-2-akl-1 Windows pricing,On-Demand ap-southeast-2-akl-1 RHEL pricing,On-Demand ap-southeast-2-akl-1 Linux pricing,On-Demand ap-southeast-2-akl-1 Ubuntu Pro pricing,On-Demand ap-southeast-2-per-1 SUSE pricing,On-Demand ap-southeast-2-per-1 Ubuntu Pro pricing,On-Demand ap-southeast-2-per-1 RHEL pricing,On-Demand ap-southeast-2-per-1 Windows pricing,On-Demand ap-southeast-2-per-1 Linux pricing
t1.micro,t1,micro,"ap-southeast-2, ap-southeast-2a, ap-southeast-2b",false,false,false,xen,1,"i386, x86_64",1,-,1,-,,0.612,0,-,-,0,supported,unsupported,Very Low,unsupported,2,2,0,-,"partition, spread",0,0,true,supported,ebs,-,-,-,false,0,0,0,0,0,0,false,0.02 USD per Hour,,0.02 USD per Hour,0.02 USD per Hour,0.03 USD per Hour,,,,,,,,,,
m5d.8xlarge,m5d,8xlarge,"ap-southeast-2, ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",false,false,false,nitro,32,x86_64,16,"2,4,6,8,10,12,14,16",2,"1,2",3.1,128,1200,true,ssd,2,supported,default,10 Gigabit,required,8,30,30,true,"cluster, partition, spread",0,0,-,unsupported,ebs,true,true,-,true,6800,30000,850,6800,30000,850,false,2.272 USD per Hour,2.328 USD per Hour,2.372 USD per Hour,3.744 USD per Hour,2.618 USD per Hour,,,,,,,,,,
m7g.4xlarge,m7g,4xlarge,"ap-southeast-2, ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",false,false,false,nitro,16,arm64,16,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16",1,1,2.6,64,0,-,-,0,supported,default,Up to 15 Gigabit,required,8,30,30,true,"cluster, partition, spread",0,0,true,supported,ebs,true,true,-,true,5000,20000,625,10000,40000,1250,false,0.816 USD per Hour,0.844 USD per Hour,0.941 USD per Hour,,0.9888 USD per Hour,,,,,,,,,,
c6gn.16xlarge,c6gn,16xlarge,"ap-southeast-2, ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",false,false,false,nitro,64,arm64,64,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64",1,1,2.5,128,0,-,-,0,supported,default,100 Gigabit,required,15,50,50,true,"cluster, partition, spread",0,0,true,supported,ebs,true,true,-,true,38000,160000,4750,38000,160000,4750,true,3.616 USD per Hour,3.728 USD per Hour,3.741 USD per Hour,,4.3072 USD per Hour,,,,,,,,,,
m8g.24xlarge,m8g,24xlarge,"ap-southeast-2, ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",false,false,false,nitro,96,arm64,96,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96",1,1,2.8,384,0,-,-,0,supported,default,40 Gigabit,required,15,50,50,true,"cluster, partition, spread",0,0,true,supported,ebs,true,-,-,true,30000,120000,3750,30000,120000,3750,true,5.3856 USD per Hour,5.5536 USD per Hour,5.5106 USD per Hour,,6.4224 USD per Hour,,,,,,,,,,
r6g.large,r6g,large,"ap-southeast-2, ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",false,false,false,nitro,2,arm64,2,"1,2",1,1,2.5,16,0,-,-,0,supported,default,Up to 10 Gigabit,required,3,10,10,true,"cluster, partition, spread",0,0,true,supported,ebs,true,true,-,true,630,3600,78.75,4750,20000,593.75,false,0.1208 USD per Hour,0.1243 USD per Hour,0.1771 USD per Hour,,0.1496 USD per Hour,,,,,,,,,,
r8g.16xlarge,r8g,16xlarge,"ap-southeast-2, ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",false,false,false,nitro,64,arm64,64,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64",1,1,2.8,512,0,-,-,0,supported,default,30 Gigabit,required,15,50,50,true,"cluster, partition, spread",0,0,true,supported,ebs,true,-,-,true,20000,80000,2500,20000,80000,2500,true,4.5184 USD per Hour,4.6304 USD per Hour,4.6434 USD per Hour,,5.2096 USD per Hour,,,,,,,,,,
i7ie.18xlarge,i7ie,18xlarge,"ap-southeast-2, ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",false,false,false,nitro,72,x86_64,36,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36",2,"1,2",3.6,576,45000,true,ssd,6,supported,default,Up to 75 Gigabit,required,15,50,50,true,"cluster, partition, spread",0,0,-,unsupported,ebs,true,-,-,true,22500,90000,2812.5,22500,90000,2812.5,true,11.2194 USD per Hour,11.3454 USD per Hour,11.3444 USD per Hour,14.5314 USD per Hour,11.997 USD per Hour,,,,,,,,,,
i7ie.xlarge,i7ie,xlarge,"ap-southeast-2, ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",false,false,false,nitro,4,x86_64,2,"1,2",2,"1,2",3.6,32,2500,true,ssd,1,supported,default,Up to 25 Gigabit,required,4,15,15,true,"cluster, partition, spread",0,0,-,unsupported,ebs,true,true,-,true,1250,5000,156.25,10000,40000,1250,false,0.6233 USD per Hour,0.6303 USD per Hour,0.6796 USD per Hour,0.8073 USD per Hour,0.6809 USD per Hour,,,,,,,,,,
i3en.3xlarge,i3en,3xlarge,"ap-southeast-2, ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",false,false,false,nitro,12,x86_64,6,"2,4,6",2,"1,2",3.1,96,7500,true,ssd,1,supported,default,Up to 25 Gigabit,required,4,15,15,true,"cluster, partition, spread",0,0,-,unsupported,ebs,true,true,-,true,3800,15000,475,4750,20000,593.75,false,1.626 USD per Hour,1.647 USD per Hour,1.751 USD per Hour,2.178 USD per Hour,1.756 USD per Hour,,,,,,,,,,
m6id.2xlarge,m6id,2xlarge,"ap-southeast-2, ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",false,false,false,nitro,8,x86_64,4,"2,4",2,"1,2",3.5,32,474,true,ssd,1,supported,default,Up to 12.5 Gigabit,required,4,15,15,true,"cluster, partition, spread",0,0,-,unsupported,ebs,true,true,-,true,2500,12000,312.5,10000,40000,1250,false,0.5964 USD per Hour,0.6104 USD per Hour,0.7214 USD per Hour,0.9644 USD per Hour,0.7116 USD per Hour,,,,,,,,,,
c6in.xlarge,c6in,xlarge,"ap-southeast-2, ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",false,false,false,nitro,4,x86_64,2,"1,2",2,"1,2",3.5,8,0,-,-,0,supported,default,Up to 30 Gigabit,required,4,15,15,true,"cluster, partition, spread",0,0,true,supported,ebs,true,true,-,true,3125,12500,390.625,25000,100000,3125,false,0.2961 USD per Hour,,0.3524 USD per Hour,0.4801 USD per Hour,0.3537 USD per Hour,,,,,,,,,,
m7gd.xlarge,m7gd,xlarge,"ap-southeast-2, ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",false,false,false,nitro,4,arm64,4,"1,2,3,4",1,1,2.6,16,237,true,ssd,1,supported,default,Up to 12.5 Gigabit,required,4,15,15,true,"cluster, partition, spread",0,0,-,unsupported,ebs,true,true,-,true,1250,6000,156.25039999999998,10000,40000,1250,false,0.2684 USD per Hour,0.2754 USD per Hour,0.3247 USD per Hour,,0.326 USD per Hour,,,,,,,,,,
c8g.48xlarge,c8g,48xlarge,"ap-southeast-2, ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",false,false,false,nitro,192,arm64,192,"4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60,62,64,66,68,70,72,74,76,78,80,82,84,86,88,90,92,94,96,98,100,102,104,106,108,110,112,114,116,118,120,122,124,126,128,130,132,134,136,138,140,142,144,146,148,150,152,154,156,158,160,162,164,166,168,170,172,174,176,178,180,182,184,186,188,190,192",1,1,2.7,384,0,-,-,0,supported,default,50 Gigabit,required,15,50,50,true,"cluster, partition, spread",0,0,true,supported,ebs,true,-,-,true,40000,240000,5000,40000,240000,5000,true,9.9648 USD per Hour,10.3008 USD per Hour,10.0898 USD per Hour,,11.808 USD per Hour,,,,,,,,,,
i3en.12xlarge,i3en,12xlarge,"ap-southeast-2, ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",false,false,false,nitro,48,x86_64,24,"2,4,6,8,10,12,14,16,18,20,22,24",2,"1,2",3.1,384,30000,true,ssd,4,supported,default,50 Gigabit,required,8,30,30,true,"cluster, partition, spread",0,0,-,unsupported,ebs,true,-,-,true,9500,40000,1187.5,9500,40000,1187.5,false,6.504 USD per Hour,6.588 USD per Hour,6.629 USD per Hour,8.712 USD per Hour,7.022 USD per Hour,,,,,,,,,,
r6gd.2xlarge,r6gd,2xlarge,"ap-southeast-2, ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",false,false,false,nitro,8,arm64,8,"1,2,3,4,5,6,7,8",1,1,2.5,64,474,true,ssd,1,supported,default,Up to 10 Gigabit,required,4,15,15,true,"cluster, partition, spread",0,0,-,unsupported,ebs,true,true,-,true,2375,12000,296.875,4750,20000,593.75,false,0.556 USD per Hour,0.57 USD per Hour,0.681 USD per Hour,,0.6712 USD per Hour,,,,,,,,,,
x1e.8xlarge,x1e,8xlarge,"ap-southeast-2, ap-southeast-2a, ap-southeast-2c",false,false,false,xen,32,x86_64,16,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16",2,"1,2",2.3,976,960,true,ssd,1,supported,default,Up to 10 Gigabit,supported,4,15,15,true,"cluster, partition, spread",0,0,true,unsupported,ebs,true,-,-,true,3500,20000,437.5,3500,20000,437.5,false,9.672 USD per Hour,9.728 USD per Hour,9.772 USD per Hour,11.144 USD per Hour,10.018 USD per Hour,,,,,,,,,,
r6g.16xlarge,r6g,16xlarge,"ap-southeast-2, ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",false,false,false,nitro,64,arm64,64,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64",1,1,2.5,512,0,-,-,0,supported,default,25 Gigabit,required,15,50,50,true,"cluster, partition, spread",0,0,true,supported,ebs,true,-,-,true,19000,80000,2375,19000,80000,2375,false,3.8656 USD per Hour,3.9776 USD per Hour,3.9906 USD per Hour,,4.5568 USD per Hour,,,,,,,,,,
m6gd.12xlarge,m6gd,12xlarge,"ap-southeast-2, ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",false,false,false,nitro,48,arm64,48,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48",1,1,2.5,192,2850,true,ssd,2,supported,default,20 Gigabit,required,8,30,30,true,"cluster, partition, spread",0,0,-,unsupported,ebs,true,-,-,true,14250,50000,1781.25,14250,50000,1781.25,false,2.736 USD per Hour,2.82 USD per Hour,2.861 USD per Hour,,3.2544 USD per Hour,,,,,,,,,,
g5.2xlarge,g5,2xlarge,"ap-southeast-2, ap-southeast-2a, ap-southeast-2c",false,false,false,nitro,8,x86_64,4,-,2,-,3.3,32,450,true,ssd,1,supported,default,Up to 10 Gigabit,required,4,15,15,true,"cluster, partition, spread",1,0,-,unsupported,ebs,-,-,-,true,850,3500,106.25,3500,15000,437.5,false,1.57584 USD per Hour,1.58984 USD per Hour,1.70084 USD per Hour,1.94384 USD per Hour,1.69104 USD per Hour,,,,,,,,,,
c3.large,c3,large,"ap-southeast-2, ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",false,false,false,xen,2,"i386, x86_64",1,1,2,"1,2",2.8,3.75,32,true,ssd,2,supported,unsupported,Moderate,unsupported,3,10,10,true,"cluster, partition, spread",0,0,true,unsupported,"ebs, instance-store",true,true,-,false,0,0,0,0,0,0,false,0.132 USD per Hour,,0.232 USD per Hour,0.238 USD per Hour,0.161 USD per Hour,,,,,,,,,,
r6i.xlarge,r6i,xlarge,"ap-southeast-2, ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",false,false,false,nitro,4,x86_64,2,"1,2",2,"1,2",3.5,32,0,-,-,0,supported,default,Up to 12.5 Gigabit,required,4,15,15,true,"cluster, partition, spread",0,0,true,supported,ebs,true,-,-,true,1250,6000,156.25,10000,40000,1250,false,0.302 USD per Hour,0.309 USD per Hour,0.3583 USD per Hour,0.486 USD per Hour,0.3596 USD per Hour,,,,,,,,,,
i7ie.24xlarge,i7ie,24xlarge,"ap-southeast-2, ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",false,false,false,nitro,96,x86_64,48,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48",2,"1,2",3.6,768,60000,true,ssd,8,supported,default,Up to 100 Gigabit,required,15,50,50,true,"cluster, partition, spread",0,0,-,unsupported,ebs,true,-,-,true,30000,120000,3750,30000,120000,3750,true,14.9592 USD per Hour,15.1272 USD per Hour,15.0842 USD per Hour,19.3752 USD per Hour,15.996 USD per Hour,,,,,,,,,,
c7i.2xlarge,c7i,2xlarge,"ap-southeast-2, ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",false,false,false,nitro,8,x86_64,4,"1,2,3,4",2,"1,2",3.2,16,0,-,-,0,supported,default,Up to 12.5 Gigabit,required,4,15,15,true,"cluster, partition, spread",0,0,true,supported,ebs,true,true,-,true,2500,12000,312.5,10000,40000,1250,false,0.4662 USD per Hour,0.4802 USD per Hour,0.5912 USD per Hour,0.8342 USD per Hour,0.5814 USD per Hour,,,,,,,,,,
c5d.large,c5d,large,"ap-southeast-2, ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",false,false,false,nitro,2,x86_64,1,1,2,"1,2",3.4,4,50,true,ssd,1,supported,default,Up to 10 Gigabit,required,3,10,10,true,"cluster, partition, spread",0,0,-,unsupported,ebs,true,true,-,true,650,4000,81.25,4750,20000,593.75,false,0.126 USD per Hour,0.13 USD per Hour,0.182 USD per Hour,0.218 USD per Hour,0.155 USD per Hour,,,,,,,,,,
m5ad.12xlarge,m5ad,12xlarge,"ap-southeast-2, ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",false,false,false,nitro,48,x86_64,24,"6,12,18,24",2,"1,2",2.2,192,1800,true,ssd,2,supported,default,10 Gigabit,required,8,30,30,true,"cluster, partition, spread",0,0,-,unsupported,ebs,-,-,-,true,6780,30000,847.5,6780,30000,847.5,false,3.12 USD per Hour,3.204 USD per Hour,3.245 USD per Hour,5.328 USD per Hour,3.638 USD per Hour,,,,,,,,,,
r6id.2xlarge,r6id,2xlarge,"ap-southeast-2, ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",false,false,false,nitro,8,x86_64,4,"2,4",2,"1,2",3.5,64,474,true,ssd,1,supported,default,Up to 12.5 Gigabit,required,4,15,15,true,"cluster, partition, spread",0,0,-,unsupported,ebs,true,-,-,true,2500,12000,312.5,10000,40000,1250,false,0.696 USD per Hour,0.71 USD per Hour,0.821 USD per Hour,1.064 USD per Hour,0.8112 USD per Hour,,,,,,,,,,
m6gd.xlarge,m6gd,xlarge,"ap-southeast-2, ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",false,false,false,nitro,4,arm64,4,"1,2,3,4",1,1,2.5,16,237,true,ssd,1,supported,default,Up to 10 Gigabit,required,4,15,15,true,"cluster, partition, spread",0,0,-,unsupported,ebs,true,true,-,true,1188,6000,148.5,4750,20000,593.75,false,0.228 USD per Hour,0.235 USD per Hour,0.2843 USD per Hour,,0.2856 USD per Hour,,,,,,,,,,
m5a.16xlarge,m5a,16xlarge,"ap-southeast-2, ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",false,false,false,nitro,64,x86_64,32,"8,10,12,14,16,18,20,22,24,26,28,30,32",2,"1,2",2.5,256,0,-,-,0,supported,default,12 Gigabit,required,15,50,50,true,"cluster, partition, spread",0,0,true,supported,ebs,-,-,-,true,9500,40000,1187.5,9500,40000,1187.5,false,3.456 USD per Hour,3.568 USD per Hour,3.581 USD per Hour,6.4 USD per Hour,4.147 USD per Hour,,,,,,,,,,
r6a.metal,r6a,metal,"ap-southeast-2, ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",false,false,true,,192,x86_64,96,-,2,-,3.6,1536,0,-,-,0,supported,default,50 Gigabit,required,15,50,50,true,"cluster, partition, spread",0,0,true,supported,ebs,true,-,-,true,40000,240000,5000,40000,240000,5000,true,13.0464 USD per Hour,13.3824 USD per Hour,13.1714 USD per Hour,21.8784 USD per Hour,14.8896 USD per Hour,,,,,,,,,,
c6a.24xlarge,c6a,24xlarge,"ap-southeast-2, ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",false,false,false,nitro,96,x86_64,48,"4,6,8,10,12,14,16,32,48",2,"1,2",3.6,192,0,-,-,0,supported,default,37.5 Gigabit,required,15,50,50,true,"cluster, partition, spread",0,0,true,supported,ebs,true,-,-,true,30000,120000,3750,30000,120000,3750,true,4.7952 USD per Hour,4.9632 USD per Hour,4.9202 USD per Hour,9.2112 USD per Hour,5.832 USD per Hour,,,,,,,,,,
im4gn.2xlarge,im4gn,2xlarge,"ap-southeast-2, ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",false,false,false,nitro,8,arm64,8,"1,2,3,4,5,6,7,8",1,1,2.5,32,3750,true,ssd,1,supported,default,Up to 25 Gigabit,required,4,15,15,true,"cluster, partition, spread",0,0,-,unsupported,ebs,true,true,-,true,5000,20000,625,10000,40000,1250,false,0.87217 USD per Hour,0.88617 USD per Hour,0.99717 USD per Hour,,0.98737 USD per Hour,,,,,,,,,,
m7i.metal-24xl,m7i,metal-24xl,"ap-southeast-2, ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",false,false,true,,96,x86_64,48,-,2,-,3.2,384,0,-,-,0,supported,default,37.5 Gigabit,required,15,50,50,true,"cluster, partition, spread",0,0,true,supported,ebs,-,-,-,true,30000,120000,3750,30000,120000,3750,true,6.048 USD per Hour,6.216 USD per Hour,6.173 USD per Hour,10.464 USD per Hour,7.0848 USD per Hour,,,,,,,,,,
i3en.24xlarge,i3en,24xlarge,"ap-southeast-2, ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",false,false,false,nitro,96,x86_64,48,"2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48",2,"1,2",3.1,768,60000,true,ssd,8,supported,default,100 Gigabit,required,15,50,50,true,"cluster, partition, spread",0,0,-,unsupported,ebs,true,-,-,true,19000,80000,2375,19000,80000,2375,false,13.008 USD per Hour,13.176 USD per Hour,13.133 USD per Hour,17.424 USD per Hour,14.045 USD per Hour,,,,,,,,,,
r8g.12xlarge,r8g,12xlarge,"ap-southeast-2, ap-southeast-2a, ap-southeast-2b, ap-southeast-2c",false,false,false,nitro,48,arm64,48,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48",1,1,2.8,384,0,-,-,0,supported,default,22.5 Gigabit,required,8,30,30,true,"cluster, partition, spread",0,0,true,supported,ebs,true,-,-,true,15000,60000,1875,15000,60000,1875,true,3.3888 USD per Hour,3.4728 USD per Hour,3.5138 USD per Hour,,3.9072 USD per Hour,,,,,,,,,,
